datetime,suction_tension (20cm),suction_tension (40cm),suction_tension (70cm),water_temperature,barometric_pressure_qfe,dew_point,water_level,inflow_linth (m3/s),outflow_limmat (m3/s),precipitation (mm),Evapotranspiration (mm),change_rate
2012-01-08,1.8642857142857143,1.5095238095238095,1.657142857142857,5.718253968253968,972.3425396825396,1.5823809523809522,405.9259365079365,42.463125,130.71258928571427,50.2,0.59,
2012-01-15,3.0458333333333334,2.6625,2.2541666666666664,5.230734126984126,981.8005952380953,-0.03974206349206355,405.85615476190475,41.259767857142855,97.88588690476192,0.0,0.72,-0.00017190758154572716
2012-01-22,3.732738095238095,2.593154761904762,2.2931547619047623,4.960376984126984,975.97375,-0.22394841269841276,405.8117202380953,31.684386904761904,85.61157142857142,40.1,0.89,-0.00010948342975236613
2012-01-29,1.999404761904762,1.7244047619047618,1.831547619047619,5.0425892857142856,973.659751984127,1.4025694444444443,405.82817857142857,38.1952619047619,101.16955357142857,13.700000000000001,0.19,4.05565746686154e-05
2012-02-05,3.8000000000000003,2.969047619047619,2.3904761904761904,4.035357142857142,975.8913095238095,-9.41422619047619,405.7763888888889,38.501392857142854,81.97475,1.0,0.7,-0.00012761480171719075
2012-02-12,27.794642857142858,4.252678571428571,2.8892857142857147,3.0243452380952385,980.5279166666667,-12.032123015873015,405.7513611111111,40.77972619047619,78.21739880952381,0.0,0.8,-6.167874342399848e-05
2012-02-19,52.69761904761905,6.191071428571428,2.5413690476190474,3.725892857142857,973.7919047619049,-2.17265873015873,405.7155317460318,34.04168452380952,74.75621428571428,19.1,1.19,-8.830374587343037e-05
2012-02-26,2.375595238095238,3.794642857142857,1.8294642857142858,4.17311507936508,980.6987499999999,-0.21823412698412684,405.6617361111111,23.702636904761906,58.77563095238095,0.6,2.2199999999999998,-0.00013259446757973858
2012-03-04,3.020833333333333,2.3404761904761906,1.9000000000000001,4.809801587301587,976.6360912698412,2.648234126984127,405.6573551587301,24.22086904761905,57.951583333333325,0.0,5.33,-1.0799520859361422e-05
2012-03-11,2.7044642857142853,2.2041666666666666,2.0154761904761904,4.754781746031746,980.5871031746032,-1.1131944444444444,405.7222003968254,34.412261904761905,68.66539285714285,3.6999999999999997,4.57,0.0001598522429597793
2012-03-18,6.091964285714285,3.688095238095238,2.4523809523809526,6.043849206349206,978.332619047619,3.3819047619047624,405.7429682539683,33.42071428571428,68.67845833333334,1.8,11.68,5.118738171727699e-05
2012-03-25,4.22797619047619,3.0279761904761906,2.161309523809524,7.264583333333333,980.4396683673469,4.399404761904762,405.75465844671197,41.096601190476186,94.61730952380951,8.700000000000001,11.8,2.881181846237091e-05
2012-04-01,15.74404761904762,5.325,2.913690476190476,7.643591269841271,974.7392658730158,2.6034126984126984,405.7379067460318,51.28432142857143,74.99616071428571,0.0,17.57,-4.128529477465115e-05
2012-04-08,18.87142857142857,6.893452380952381,3.7011904761904764,7.305019841269841,961.7381349206349,5.584940476190476,405.78700198412696,65.40313095238095,103.46970238095238,21.7,5.8,0.00012100234481149386
2012-04-15,2.7410714285714284,2.333333333333333,1.9113095238095237,8.472123015873015,956.5833333333334,4.208928571428571,405.780248015873,58.51882738095238,105.23310714285715,15.600000000000001,4.760000000000001,-1.6644121721420824e-05
2012-04-22,2.7464285714285714,2.3029761904761905,1.969642857142857,7.2618253968253965,958.166865079365,3.3494146825396824,405.77270833333336,44.48657142857143,87.93529761904763,21.3,7.93,-1.85807036604535e-05
2012-04-29,4.84702380952381,3.163690476190476,2.3285714285714287,9.513194444444446,961.2056547619047,5.950396825396825,405.79235119047615,42.84876785714285,63.12353571428571,3.6,25.15,4.840852215881597e-05
2012-05-06,12.507738095238095,5.554166666666666,3.1011904761904767,11.206646825396826,964.9463293650794,8.344345238095238,405.82269841269846,97.13863690476191,131.17377976190477,27.400000000000002,13.18,7.478510162473029e-05
2012-05-13,4.002976190476191,2.878571428571429,2.2714285714285714,13.99781746031746,974.8766865079366,9.885813492063493,405.8302380952381,105.99469047619047,139.51542857142857,37.1,17.23,1.8578760057286203e-05
2012-05-20,4.586904761904762,3.111309523809524,2.2279761904761903,10.918948412698413,967.4291666666667,5.6664682539682545,405.830367063492,103.33017261904762,141.18119047619047,6.1000000000000005,18.98,3.1778867581877535e-07
2012-05-27,5.417261904761905,3.3839285714285716,2.3392857142857144,15.282837301587303,968.0488095238096,10.782738095238097,405.8525496031746,104.5021011904762,143.9926488095238,21.2,20.27,5.465963486939174e-05
2012-06-03,33.341071428571425,9.857142857142858,3.5303571428571425,18.28134920634921,969.3955357142858,12.110218253968254,405.877876984127,109.29438690476191,129.82705952380954,22.200000000000003,21.89,6.240537598478646e-05
2012-06-10,2.907738095238095,2.460119047619048,2.0038690476190477,18.32777777777778,966.2854166666666,11.890376984126984,406.08948412698413,151.32253571428572,217.39505357142858,90.0,6.33,0.0005213566810526871
2012-06-17,4.620833333333333,2.8416666666666663,2.074404761904762,18.13363095238095,967.9574404761905,12.139880952380953,406.2772023809524,142.12988095238094,260.22044642857145,46.800000000000004,22.939999999999998,0.0004622583477429387
2012-06-24,16.651190476190475,7.122023809523809,3.4375,19.61140873015873,971.2445436507936,14.222619047619048,406.0753968253968,113.38214285714287,173.47268452380953,22.3,21.22,-0.0004967188766018538
2012-07-01,6.864164237123421,3.825886783284742,2.752040816326531,20.111011904761906,970.0451388888888,16.476488095238096,406.06346230158726,108.90916071428572,158.4456011904762,51.1,16.119999999999997,-2.938992094292381e-05
