Stationsnummer: 2099
Stationsname: Zürich, Unterhard
DBLH-Nr: 00343
Gewässer: Limmat
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 17:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 18:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 19:00:00;;400.167;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 20:00:00;;400.166;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 21:00:00;;400.164;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 22:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-02 23:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 00:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 01:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 02:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 03:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 04:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 05:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 06:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 07:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 08:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 09:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 10:00:00;;400.163;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 11:00:00;;400.164;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 12:00:00;;400.164;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 13:00:00;;400.164;Freigegeben, provisorische Daten
Zürich, Unterhard;2099;Pegel;Stundenmittel;m ü.M.;Limmat;2019-01-03 14:00:00;;400.164;Freigegeben, provisorische Daten
