Stationsnummer: 2209
Stationsname: Zürich
DBLH-Nr: 00725
Gewässer: Zürichsee
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-02 20:00:00;;405.830;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-02 21:00:00;;405.831;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-02 22:00:00;;405.831;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-02 23:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 00:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 01:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 02:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 03:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 04:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 05:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 06:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 07:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 08:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 09:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 10:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 11:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 12:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 13:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 14:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 15:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 16:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 17:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 18:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 19:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 20:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 21:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 22:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-03 23:00:00;;405.833;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 00:00:00;;405.833;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 01:00:00;;405.832;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 02:00:00;;405.830;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 03:00:00;;405.830;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 04:00:00;;405.830;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 05:00:00;;405.829;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 06:00:00;;405.829;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 07:00:00;;405.829;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 08:00:00;;405.829;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 09:00:00;;405.829;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 10:00:00;;405.828;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 11:00:00;;405.828;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 12:00:00;;405.828;Freigegeben, provisorische Daten
Zürich;2209;Pegel;Stundenmittel;m ü.M.;Zürichsee;2019-01-04 13:00:00;;405.826;Freigegeben, provisorische Daten
